Model,Accuracy,F1-score,Training Time (s)
Linear SVC,0.9587579179289452,0.9783088900959623,0.15845727920532227
Conv1D,0.955315351486206,0.9764829510454035,12.005020141601562
GRU,0.9542137384414673,0.975855934357187,18.872161149978638
Logistic Regression,0.9524235747727898,0.9751965253598478,0.09836220741271973
Random Forest,0.9504957312035252,0.9742081285647667,23.009655952453613
Naive Bayes,0.9418892866978794,0.9699344542604731,0.0041239261627197266
